"Year","Month","Temperature","City"
1976,4,55,"NYC"
1976,5,60.2,"NYC"
1976,6,73.1,"NYC"
1976,7,74.8,"NYC"
1976,8,74.3,"NYC"
1976,9,66.6,"NYC"
1976,10,52.9,"NYC"
1976,11,41.6,"NYC"
1976,12,29.9,"NYC"
1977,1,22,"NYC"
1977,2,33.5,"NYC"
1977,3,46.7,"NYC"
1977,4,53.7,"NYC"
1977,5,65,"NYC"
1977,6,70.2,"NYC"
1977,7,79,"NYC"
1977,8,75.7,"NYC"
1977,9,68.2,"NYC"
1977,10,54.9,"NYC"
1977,11,47.3,"NYC"
1977,12,35.6,"NYC"
1978,1,27.9,"NYC"
1978,2,27.2,"NYC"
1978,3,39,"NYC"
1978,4,51.6,"NYC"
1978,5,61.5,"NYC"
1978,6,71.2,"NYC"
1978,7,74.3,"NYC"
1978,8,76,"NYC"
1978,9,64.9,"NYC"
1978,10,54.9,"NYC"
1978,11,47.8,"NYC"
1978,12,38.8,"NYC"
1979,1,33.5,"NYC"
1979,2,25.5,"NYC"
1979,3,46.8,"NYC"
1979,4,52.6,"NYC"
1979,5,65.3,"NYC"
1979,6,69.2,"NYC"
1979,7,76.9,"NYC"
1979,8,76.7,"NYC"
1979,9,70.5,"NYC"
1979,10,57.3,"NYC"
1979,11,52.5,"NYC"
1979,12,41.1,"NYC"
1980,1,33.7,"NYC"
1980,2,31.4,"NYC"
1980,3,41.2,"NYC"
1980,4,54.5,"NYC"
1980,5,65.6,"NYC"
1980,6,70.3,"NYC"
1980,7,79.3,"NYC"
1980,8,80.3,"NYC"
1980,9,70.8,"NYC"
1980,10,55.2,"NYC"
1980,11,44.6,"NYC"
1980,12,32.4,"NYC"
1981,1,26.2,"NYC"
1981,2,39.3,"NYC"
1981,3,42.2,"NYC"
1981,4,56.1,"NYC"
1981,5,64.8,"NYC"
1981,6,73,"NYC"
1981,7,78.5,"NYC"
1981,8,76,"NYC"
1981,9,67.5,"NYC"
1981,10,54.4,"NYC"
1981,11,47.7,"NYC"
1981,12,36.5,"NYC"
1982,1,26.1,"NYC"
1982,2,35.3,"NYC"
1982,3,41.9,"NYC"
1982,4,51.2,"NYC"
1982,5,64.1,"NYC"
1982,6,68.6,"NYC"
1982,7,77.9,"NYC"
1982,8,73.1,"NYC"
1982,9,68.3,"NYC"
1982,10,58.5,"NYC"
1982,11,50.4,"NYC"
1982,12,42.7,"NYC"
1983,1,34.5,"NYC"
1983,2,36.4,"NYC"
1983,3,44,"NYC"
1983,4,52.3,"NYC"
1983,5,60.1,"NYC"
1983,6,73.4,"NYC"
1983,7,79.5,"NYC"
1983,8,77.7,"NYC"
1983,9,71.8,"NYC"
1983,10,57.8,"NYC"
1983,11,48.8,"NYC"
1983,12,35.1,"NYC"
1984,1,29.8,"NYC"
1984,2,40.6,"NYC"
1984,3,36.7,"NYC"
1984,4,51.9,"NYC"
1984,5,61.6,"NYC"
1984,6,74.5,"NYC"
1984,7,74.7,"NYC"
1984,8,76.6,"NYC"
1984,9,65.9,"NYC"
1984,10,61.8,"NYC"
1984,11,47.2,"NYC"
1984,12,43.7,"NYC"
1985,1,28.8,"NYC"
1985,2,36.6,"NYC"
1985,3,45.8,"NYC"
1985,4,55.5,"NYC"
1985,5,65.2,"NYC"
1985,6,68.6,"NYC"
1985,7,76.2,"NYC"
1985,8,75.4,"NYC"
1985,9,70.4,"NYC"
1985,10,59.4,"NYC"
1985,11,50,"NYC"
1985,12,34.2,"NYC"
1986,1,34.1,"NYC"
1986,2,31.9,"NYC"
1986,3,45.1,"NYC"
1986,4,54.5,"NYC"
1986,5,66,"NYC"
1986,6,71.5,"NYC"
1986,7,76,"NYC"
1986,8,73.1,"NYC"
1986,9,67.8,"NYC"
1986,10,58,"NYC"
1986,11,45.7,"NYC"
1986,12,39,"NYC"
1987,1,32.3,"NYC"
1987,2,33.2,"NYC"
1987,3,45.1,"NYC"
1987,4,53.4,"NYC"
1987,5,63.6,"NYC"
1987,6,72.8,"NYC"
1987,7,77.9,"NYC"
1987,8,74.2,"NYC"
1987,9,67.7,"NYC"
1987,10,53.8,"NYC"
1987,11,47.7,"NYC"
1987,12,39.5,"NYC"
1988,1,29.5,"NYC"
1988,2,35,"NYC"
1988,3,43.6,"NYC"
1988,4,51.2,"NYC"
1988,5,62.6,"NYC"
1988,6,71.8,"NYC"
1988,7,79.3,"NYC"
1988,8,78.8,"NYC"
1988,9,67.4,"NYC"
1988,10,52.7,"NYC"
1988,11,49.4,"NYC"
1988,12,35.9,"NYC"
1989,1,37.4,"NYC"
1989,2,34.5,"NYC"
1989,3,42.4,"NYC"
1989,4,52.1,"NYC"
1989,5,62.1,"NYC"
1989,6,72,"NYC"
1989,7,74.9,"NYC"
1989,8,74,"NYC"
1989,9,68.1,"NYC"
1989,10,58.1,"NYC"
1989,11,45.7,"NYC"
1989,12,25.8,"NYC"
1990,1,41.4,"NYC"
1990,2,39.7,"NYC"
1990,3,45.1,"NYC"
1990,4,53.5,"NYC"
1990,5,60.2,"NYC"
1990,6,72.1,"NYC"
1990,7,76.7,"NYC"
1990,8,75.3,"NYC"
1990,9,67.5,"NYC"
1990,10,61.9,"NYC"
1990,11,50.3,"NYC"
1990,12,42.6,"NYC"
1991,1,34.9,"NYC"
1991,2,39.9,"NYC"
1991,3,44.6,"NYC"
1991,4,55.7,"NYC"
1991,5,68.7,"NYC"
1991,6,74.1,"NYC"
1991,7,77.7,"NYC"
1991,8,77.1,"NYC"
1991,9,67.4,"NYC"
1991,10,58.4,"NYC"
1991,11,48.3,"NYC"
1991,12,39.6,"NYC"
1992,1,35.7,"NYC"
1992,2,36.4,"NYC"
1992,3,40,"NYC"
1992,4,50.5,"NYC"
1992,5,61,"NYC"
1992,6,70.2,"NYC"
1992,7,74.2,"NYC"
1992,8,72.9,"NYC"
1992,9,67.2,"NYC"
1992,10,54.5,"NYC"
1992,11,46.5,"NYC"
1992,12,37.8,"NYC"
1993,1,36.3,"NYC"
1993,2,30.8,"NYC"
1993,3,39.6,"NYC"
1993,4,53.3,"NYC"
1993,5,65.6,"NYC"
1993,6,73.3,"NYC"
1993,7,80.1,"NYC"
1993,8,77.2,"NYC"
1993,9,67.3,"NYC"
1993,10,55.9,"NYC"
1993,11,48.8,"NYC"
1993,12,37.3,"NYC"
1994,1,25.5,"NYC"
1994,2,30.6,"NYC"
1994,3,40.7,"NYC"
1994,4,55.6,"NYC"
1994,5,61.8,"NYC"
1994,6,75.2,"NYC"
1994,7,79.4,"NYC"
1994,8,74,"NYC"
1994,9,67.6,"NYC"
1994,10,58,"NYC"
1994,11,51.9,"NYC"
1994,12,42.2,"NYC"
1995,1,37.5,"NYC"
1995,2,31.6,"NYC"
1995,3,45,"NYC"
1995,4,51.9,"NYC"
1995,5,61.9,"NYC"
1995,6,71.8,"NYC"
1995,7,79.1,"NYC"
1995,8,78.5,"NYC"
1995,9,68.3,"NYC"
1995,10,61.6,"NYC"
1995,11,43.6,"NYC"
1995,12,32.4,"NYC"
1996,1,30.5,"NYC"
1996,2,33.9,"NYC"
1996,3,38.9,"NYC"
